fight_id,event_id,referee,f_1,f_2,winner,num_rounds,title_fight,weight_class,gender,result,result_details,finish_round,finish_time
1418,158,Herb Dean,2951.0,1223.0,2951.0,3,F,Welterweight,M,KO/TKO,Punches to Head On Ground,1,1:07
1417,157,Herb Dean,3122.0,1267.0,3122.0,5,T,Lightweight,M,Decision,Unanimous,5,5:00
1416,157,Mario Yamasaki,3371.0,383.0,3371.0,3,F,Heavyweight,M,Submission,Arm Triangle From Mount,1,3:19
1415,157,Herb Dean,1901.0,1674.0,1901.0,3,F,Middleweight,M,Decision,Unanimous,3,5:00
1414,157,Mario Yamasaki,2969.0,1798.0,1798.0,3,F,Lightweight,M,Decision,Unanimous,3,5:00
1413,157,Yves Lavigne,3221.0,3290.0,3221.0,3,F,Welterweight,M,Submission,"Guillotine Choke On Ground
      Technical Submission",3,4:02
1412,157,Herb Dean,2102.0,920.0,2102.0,3,F,Lightweight,M,Submission,Armbar From Mount,1,2:01
1411,157,Josh Rosenthal,113.0,2052.0,2052.0,3,F,Lightweight,M,Decision,Unanimous,3,5:00
1410,157,Mario Yamasaki,1694.0,877.0,1694.0,3,F,Middleweight,M,Submission,Guillotine Choke After Drop to Ground,2,1:53
1409,157,Yves Lavigne,1370.0,594.0,594.0,3,F,Welterweight,M,Decision,Unanimous,3,5:00
1408,157,Josh Rosenthal,1203.0,4002.0,1203.0,3,F,Welterweight,M,Submission,Armbar From Half Guard,3,3:11
1407,156,Josh Rosenthal,703.0,604.0,703.0,5,T,Middleweight,M,Submission,Triangle Armbar From Bottom Guard,5,3:10
1406,156,Herb Dean,2978.0,4004.0,2978.0,3,F,Welterweight,M,Decision,Unanimous,3,5:00
1405,156,Herb Dean,2702.0,3185.0,2702.0,3,F,Lightweight,M,Submission,"Injury  
      Jaw Injury",3,1:51
1404,156,Josh Rosenthal,2482.0,4023.0,2482.0,3,F,Welterweight,M,Submission,"Schultz Front Headlock On Ground
      Technical Submission",1,3:15
1403,156,Marcos Rosales,1497.0,3184.0,3184.0,3,F,Heavyweight,M,Decision,Unanimous,3,5:00
1402,156,Josh Rosenthal,2609.0,523.0,523.0,3,F,Welterweight,M,KO/TKO,Punches to Head On Ground,2,1:15
1401,156,Herb Dean,207.0,3288.0,3288.0,3,F,Light Heavyweight,M,Decision,Unanimous,3,5:00
1400,156,Josh Rosenthal,2591.0,3680.0,2591.0,3,F,Welterweight,M,KO/TKO,Punches to Head At Distance,2,0:40
